
15.12.2019, 00:13:19 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | Setwall -187620137_68
15.12.2019, 00:50:15 | 🛑 Гл Администратор | uID:7 |  URL: https://vk.com/id479928763 | 📦 Сундуки
15.12.2019, 00:50:42 | 🛑 Гл Администратор | uID:7 |  URL: https://vk.com/id479928763 | Кейс открыть 5
15.12.2019, 00:51:20 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | eval users.find(x=> x.id === 479928763).case5 += 1
15.12.2019, 00:51:29 | 🛑 Гл Администратор | uID:7 |  URL: https://vk.com/id479928763 | Кейс открыть 5
15.12.2019, 00:52:50 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | Открыть 5
15.12.2019, 00:54:12 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | eval users.find(x=> x.id === 479928763).case5 += 2
15.12.2019, 00:54:22 | 🛑 Гл Администратор | uID:7 |  URL: https://vk.com/id479928763 | Кейс открыть 5
15.12.2019, 00:54:26 | 🛑 Гл Администратор | uID:7 |  URL: https://vk.com/id479928763 | Кейс открыть 5
15.12.2019, 00:56:21 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | eval users.find(x=> x.id === 479928763).case5 += 2
15.12.2019, 00:56:23 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | eval users.find(x=> x.id === 479928763).case5 += 2
15.12.2019, 00:56:38 | 🛑 Гл Администратор | uID:7 |  URL: https://vk.com/id479928763 | Кейс открыть 5
15.12.2019, 00:56:41 | 🛑 Гл Администратор | uID:7 |  URL: https://vk.com/id479928763 | Кейс открыть 5
15.12.2019, 00:57:07 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | Кик https://vk.com/iloveyoubrawlstars
15.12.2019, 01:00:12 | Игрок | uID:9 |  URL: https://vk.com/id518322137 | 📦 Сундуки
15.12.2019, 01:00:56 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | eval users.find(x=> x.id === 301015165).case5 += 1
15.12.2019, 01:04:55 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | Кик https://vk.com/iloveyoubrawlstars
15.12.2019, 01:07:26 | Игрок | uID:5 |  URL: https://vk.com/id301015165 | 📦 Сундуки
15.12.2019, 01:07:28 | Игрок | uID:5 |  URL: https://vk.com/id301015165 | 💽 Ферма
15.12.2019, 01:10:31 | Игрок | uID:5 |  URL: https://vk.com/id301015165 | 📦 Сундуки
15.12.2019, 01:11:18 | Игрок | uID:5 |  URL: https://vk.com/id301015165 | 📦 Сундуки
15.12.2019, 01:13:17 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | 📦 Сундуки
15.12.2019, 01:13:25 | Игрок | uID:5 |  URL: https://vk.com/id301015165 | 📦 Сундуки
15.12.2019, 01:13:37 | VIP | uID:5 |  URL: https://vk.com/id301015165 | Сундук открыть 5
15.12.2019, 01:13:51 | VIP | uID:5 |  URL: https://vk.com/id301015165 | Профиль
15.12.2019, 01:14:26 | 📀 Владелец  | uID:0 |  URL: https://vk.com/id545423358 | Секретное
15.12.2019, 01:14:33 | VIP | uID:5 |  URL: https://vk.com/id301015165 | Секретное
15.12.2019, 01:15:39 | VIP | uID:5 |  URL: https://vk.com/id301015165 | Вип
15.12.2019, 01:16:30 | VIP | uID:5 |  URL: https://vk.com/id301015165 | Профиль
15.12.2019, 01:16:33 | VIP | uID:5 |  URL: https://vk.com/id301015165 | Открыть 5
15.12.2019, 01:16:37 | VIP | uID:5 |  URL: https://vk.com/id301015165 | Профиль
15.12.2019, 01:16:45 | VIP | uID:5 |  URL: https://vk.com/id301015165 | Выдать 5 50000000000
15.12.2019, 01:16:56 | VIP | uID:5 |  URL: https://vk.com/id301015165 | Баланс
